bitmap   W          bitmap_io.c:215  al_load_bitmap_flags             [   0.00000] No handler for bitmap extensions .bmp - therefore not trying to load plansza1.bmp.
display  D   display_settings.c:212  debug_display_settings           [   0.05628] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05631] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05637] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05640] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05643] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05649] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05652] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05655] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05658] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05662] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05664] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05668] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05670] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05674] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05676] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05680] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05682] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05689] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05692] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05695] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05698] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05701] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05704] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05707] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05710] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05713] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05716] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05718] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05722] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05724] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05728] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05730] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05733] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05736] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05740] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05742] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05746] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05748] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05751] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05754] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05757] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05759] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05763] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05765] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05768] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05771] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05774] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05776] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05779] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05782] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05785] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05787] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05791] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05794] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05797] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05800] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05803] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05806] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05809] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05811] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05815] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05817] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05820] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05823] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05826] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05834] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05838] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05843] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05846] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05849] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05855] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05858] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05860] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05864] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05866] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05869] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05872] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05875] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05878] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05881] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05884] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05887] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.05905] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.06680] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.06686] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.07467] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.08788] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.08794] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.08798] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.08804] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.08809] Returning d3d_display: 012041B0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.08811] al_display=012041B0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.08814] al_display->vt=011E8BF8
system   D            wsystem.c:721  maybe_parent_dir                 [   0.08832] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.08940] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.08952] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09026] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09034] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09099] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09110] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09205] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09217] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09310] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09325] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09415] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09426] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09567] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09579] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09667] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09678] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09763] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09773] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09860] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09871] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09956] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09967] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10033] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10041] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10099] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10106] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10164] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10171] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10230] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10237] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10295] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10302] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
